Angle (°),Distance (mm)
309.16,3205.00
310.84,3008.75
312.58,2908.75
314.22,2898.25
315.92,2840.75
317.62,2788.50
319.33,2733.25
321.03,2697.25
325.08,2513.25
326.78,2487.00
328.61,0.00
330.17,0.00
332.09,2006.75
333.86,1927.50
335.62,1896.50
337.33,1896.75
339.05,1909.00
340.73,1950.75
342.28,0.00
344.05,2434.25
345.77,2478.50
347.19,2481.75
348.89,2466.00
350.59,2457.00
352.30,2446.00
354.00,2440.75
355.69,2439.50
357.39,2440.25
359.12,2436.00
0.83,2437.75
2.55,2443.00
4.23,2452.50
5.94,2463.50
7.66,2478.00
9.33,2490.75
11.08,2512.00
12.75,2526.25
14.47,2545.00
16.19,2574.00
17.89,2592.00
19.56,2625.50
21.27,2660.50
22.95,2691.00
24.67,2734.25
26.38,2776.00
28.05,2821.75
29.77,2828.25
31.42,2918.00
33.12,2997.25
34.83,3060.75
36.50,3133.75
38.22,3211.00
39.91,3293.75
41.58,3386.00
43.28,3487.75
44.97,3594.25
46.67,3716.50
48.34,3853.75
50.05,4005.25
51.72,4166.75
53.42,4351.50
55.09,4547.25
56.77,4786.25
58.47,4968.50
60.11,5334.00
61.80,5663.50
63.48,6013.75
65.19,6425.50
66.88,6395.50
68.59,6141.50
70.30,6112.75
75.38,6380.50
78.80,5906.50
80.52,5968.25
82.34,6028.50
85.75,6017.75
87.45,5891.75
89.17,5857.75
92.59,6326.50
99.55,0.00
101.31,0.00
106.53,2770.25
108.14,2798.50
109.84,2832.25
111.55,2871.25
113.25,2896.25
114.97,2734.00
116.70,2589.00
118.45,2460.00
120.17,2343.00
121.91,2237.50
123.62,2142.50
125.38,2055.75
127.08,1981.50
128.80,1909.50
130.58,1847.50
132.38,1656.50
134.14,1638.00
135.89,0.00
137.61,1473.50
139.31,1473.00
141.00,1487.00
142.69,1538.25
144.45,1507.00
146.16,1479.50
147.86,1453.75
149.62,1431.75
151.30,1411.50
153.09,1295.25
154.78,0.00
156.53,1356.50
158.25,1341.75
159.97,1329.00
161.69,1319.75
163.38,1309.00
165.05,1301.00
166.80,1294.00
168.52,1287.25
170.23,1281.50
171.94,1279.00
173.64,1274.50
175.38,1272.50
177.02,1271.50
181.55,669.75
183.14,665.00
184.80,665.75
186.53,668.25
188.30,671.75
189.97,675.25
191.61,680.75
193.23,684.25
195.09,690.50
196.61,698.25
198.33,705.25
200.08,713.50
201.67,720.75
203.41,730.50
205.22,741.75
206.86,752.25
208.52,766.75
210.20,779.50
211.86,794.50
213.45,810.75
215.12,828.50
216.94,846.50
218.59,866.75
220.16,889.00
221.86,913.50
223.47,940.00
225.14,970.50
226.86,1004.00
228.44,1040.25
230.06,1080.25
231.73,1123.75
233.42,1172.50
235.02,1227.25
243.59,0.00
238.05,1820.00
239.72,1918.75
241.41,2030.75
243.05,2161.50
244.56,3056.75
246.25,3136.00
247.98,3082.25
249.67,3044.50
251.45,3023.75
253.14,3002.50
254.86,2974.50
256.53,2966.50
258.27,2973.25
259.98,2945.75
261.70,2945.50
263.38,2947.00
265.08,2932.75
266.83,2955.00
268.52,2954.75
270.25,2780.25
271.95,2788.25
281.16,0.00
275.47,2551.00
277.17,2567.75
278.92,2584.25
280.53,2866.75
282.22,0.00
283.92,3103.50
285.61,3122.50
287.34,3155.50
289.06,3191.25
290.78,3212.50
292.44,3274.00
294.17,3333.25
295.86,3383.75
297.56,3439.00
299.16,3513.75
300.86,3591.50
302.59,3480.00
304.28,3521.75
306.02,3383.75
309.42,3218.50
311.16,3025.50
312.88,2908.00
314.61,2908.00
316.31,2856.75
318.03,2787.00
319.75,2723.75
321.45,2697.50
323.25,0.00
324.98,2511.75
326.72,2485.25
331.95,2016.25
333.69,1922.25
335.42,1893.25
337.14,1888.50
338.84,1899.00
340.52,1943.50
349.52,0.00
343.81,2421.00
345.59,0.00
347.17,2481.50
348.89,2466.25
350.58,2457.50
352.28,2447.00
354.00,2440.50
355.72,2439.00
357.41,2438.75
359.12,2435.25
0.84,2437.00
2.56,2442.00
4.23,2452.00
5.97,2462.25
7.67,2476.25
9.34,2490.25
11.11,2510.25
12.80,2523.00
14.52,2544.00
16.17,2571.50
17.92,2591.50
19.61,2623.00
21.31,2658.50
22.98,2690.25
24.69,2732.75
26.39,2774.50
28.11,2820.50
29.80,0.00
31.50,0.00
33.20,2992.00
34.84,3059.25
36.55,3126.25
38.27,3205.00
39.94,3283.75
41.64,3377.50
43.33,3484.75
45.05,3590.50
46.72,3712.75
48.41,3845.50
50.12,4002.25
51.78,4160.00
53.50,4341.75
55.19,4538.50
56.86,4772.50
58.55,4968.75
60.20,5313.00
61.89,5656.25
63.58,5997.00
65.28,6406.00
66.97,6407.25
68.69,6154.50
70.41,6103.25
75.48,6385.25
78.91,5937.75
80.61,5996.75
82.44,6021.00
84.16,6082.75
85.86,6057.75
87.61,5874.00
89.30,5868.25
92.70,6336.25
101.45,0.00
106.61,2766.75
108.30,2795.50
110.02,2830.25
111.69,2865.25
113.42,2899.00
115.16,2743.00
116.91,2595.25
118.59,2466.50
120.34,2351.50
122.11,2245.00
123.83,2149.00
125.56,2061.25
127.27,1986.25
129.05,1915.25
130.80,1850.25
132.59,1664.75
134.30,1640.00
136.08,0.00
137.88,1472.25
139.56,1474.50
141.25,1476.50
142.92,1541.50
144.62,1510.50
146.38,1482.00
148.12,1457.25
149.77,1433.00
151.50,1412.50
153.33,1317.00
155.00,1372.75
156.73,1358.50
158.45,1343.50
160.14,1331.75
161.91,1321.75
163.62,1312.25
165.28,1303.75
167.05,1296.25
168.75,1289.50
170.44,1283.00
172.20,1279.00
173.88,1275.75
175.58,1273.50
177.31,1272.25
181.75,0.00
183.36,665.50
185.17,667.25
186.72,670.25
188.50,673.75
190.25,676.75
191.89,681.75
193.52,686.50
195.25,693.50
196.88,699.75
198.62,706.75
200.34,715.50
201.94,724.75
203.62,733.50
205.39,744.00
207.17,755.50
208.70,768.75
210.45,781.75
212.05,797.00
213.73,813.75
215.52,830.75
217.11,850.00
218.81,869.25
220.52,891.75
222.12,917.00
223.80,944.25
225.42,975.00
227.09,1009.00
228.69,1045.00
230.42,1087.00
232.05,1129.50
233.67,1179.25
235.38,1233.75
243.89,0.00
238.36,1830.00
240.03,1928.00
241.72,2042.25
243.36,2177.50
244.88,3068.75
246.58,3130.75
248.30,3079.75
250.02,3037.00
251.75,3026.00
253.44,3002.75
255.17,2974.00
256.84,2968.25
258.58,2972.75
260.28,2943.75
261.98,2949.50
263.69,2951.75
265.41,2941.00
267.11,2957.00
268.83,2911.25
270.56,2784.75
272.27,2791.25
273.95,0.00
275.77,2554.75
277.50,2570.50
279.19,2586.75
280.83,2868.25
282.50,0.00
284.23,3097.00
285.92,3126.75
287.64,3158.25
289.34,3195.75
291.05,3212.50
292.75,3282.75
294.47,3333.25
296.16,3396.25
297.84,3448.50
299.45,3520.75
301.17,3581.75
302.86,3477.50
304.56,3499.00
306.28,3392.75
308.03,3275.00
309.72,3204.50
311.44,3026.50
313.20,2906.00
314.88,2906.25
316.61,2829.00
318.30,2783.75
320.02,2732.50
321.75,2698.50
325.30,2502.50
327.00,2483.75
330.36,0.00
332.28,1983.00
333.98,1916.25
335.72,1884.75
337.48,1869.00
339.20,1831.00
340.88,1803.75
342.59,1796.75
344.12,2434.25
345.81,0.00
347.48,2477.00
349.19,2464.75
350.89,2454.50
352.58,2443.50
354.31,2437.50
356.03,2437.50
357.75,2433.75
359.41,2434.25
1.12,2434.75
2.83,2442.75
4.53,2450.00
6.27,2460.00
7.97,2472.75
9.66,2484.50
11.39,2508.25
13.08,2524.50
14.80,2547.00
16.50,2569.75
18.20,2596.50
19.88,2624.25
21.61,2666.25
23.30,2691.25
25.02,2729.75
26.69,2772.75
28.39,2823.25
30.11,2822.75
31.81,2940.50
33.48,3004.75
35.19,3067.75
36.86,3138.50
38.53,3217.25
40.27,3304.00
41.94,3397.25
43.64,3500.25
45.33,3607.50
47.02,3741.50
48.70,3870.75
50.39,4030.00
52.11,4187.00
53.78,4371.00
55.47,4584.00
57.19,4823.50
58.83,4952.50
60.50,5361.75
62.17,5703.00
63.88,6064.25
65.58,6441.00
67.28,6305.00
69.00,6133.75
70.69,6134.25
75.78,6382.25
79.20,5903.25
80.92,5949.00
82.73,6054.25
84.47,6071.50
86.16,6003.50
87.88,5915.50
89.58,5889.75
92.98,6343.75
98.22,0.00
99.98,0.00
101.75,0.00
105.27,2793.75
106.91,2773.25
108.59,2803.25
110.28,2838.25
111.98,2877.00
113.69,2871.50
115.45,2700.00
117.20,2561.50
118.92,2432.75
120.62,2322.75
122.41,2214.75
124.12,2122.50
125.84,2038.75
127.56,1969.75
129.31,1896.75
131.14,1837.75
132.91,1653.50
134.64,1637.75
136.47,0.00
138.14,1472.50
139.83,1480.50
141.52,0.00
143.27,1532.25
144.95,1504.50
146.67,1474.00
148.42,1451.50
150.12,1427.50
151.92,1407.75
153.70,1291.25
155.38,1371.00
157.05,1354.75
158.73,1340.00
160.45,1328.25
162.22,1319.25
163.92,1309.75
165.66,1302.00
167.34,1294.50
169.09,1289.00
170.80,1283.50
172.48,1280.25
174.25,1277.25
175.94,1274.00
177.86,0.00
186.27,0.00
182.12,668.00
183.69,668.00
185.42,668.75
187.20,671.75
188.84,675.50
190.48,679.50
192.20,683.75
193.95,689.75
195.58,696.00
197.20,703.50
199.00,710.50
200.73,718.75
202.34,727.75
204.05,737.75
205.75,748.50
207.44,761.25
209.06,772.25
210.80,788.75
212.38,805.50
214.06,821.75
215.78,839.00
217.53,857.00
219.12,879.00
220.81,903.00
222.44,928.75
224.20,957.75
225.86,988.25
227.52,1023.25
229.11,1061.00
230.73,1103.00
232.42,1149.50
234.08,1199.75
235.77,1258.00
237.11,1773.75
238.78,1868.25
240.39,1971.50
242.05,2094.00
245.28,3128.75
247.00,3123.75
248.69,3068.75
250.42,3033.25
252.11,3022.75
253.84,2992.00
255.56,2995.50
257.30,2970.25
259.00,2964.25
260.70,2935.75
262.41,2949.25
264.12,2953.25
265.84,2941.75
267.56,2965.00
269.28,2783.50
270.98,2789.25
274.48,2561.50
276.23,2562.50
277.97,2577.50
279.66,2591.00
281.31,2877.50
283.03,0.00
284.70,3104.25
286.41,3132.50
288.11,3170.75
289.83,3212.00
291.55,3265.00
293.25,3321.50
294.94,3343.00
296.66,3412.25
298.36,3472.75
299.94,3571.25
301.66,3539.75
303.36,3488.25
305.09,3440.25
308.55,3253.25
310.23,3096.75
312.02,2995.00
313.73,2890.75
315.41,2927.25
317.12,2831.50
318.86,2754.25
320.59,2706.00
322.27,2699.25
324.11,2536.00
325.86,2492.75
331.14,0.00
332.86,1900.75
334.61,1872.25
336.28,1850.75
338.03,1828.50
339.77,1808.75
341.47,1792.25
350.38,0.00
346.34,2485.00
348.05,2471.50
349.77,2461.00
351.48,2449.75
353.17,2443.75
354.88,2438.00
356.61,2434.75
358.28,2433.25
0.00,2435.50
1.72,2439.25
3.45,2446.00
5.14,2456.25
6.83,2468.75
8.56,2480.50
10.23,2496.50
12.00,2516.00
13.72,2530.00
15.39,2556.25
17.12,2578.50
18.80,2609.00
20.52,2636.75
22.23,2673.50
23.94,2707.75
25.61,2752.25
27.31,2794.00
29.05,0.00
30.77,2824.25
32.44,2964.25
34.11,3027.00
35.80,3097.25
37.50,3169.25
39.20,3249.75
40.91,3334.50
42.58,3428.25
44.28,3535.25
45.98,3649.25
47.69,3780.25
49.36,3917.25
51.05,4082.50
52.77,4273.25
54.45,4472.75
56.14,4676.25
57.86,4919.75
59.47,5210.25
61.17,5524.00
62.84,5874.25
64.55,6279.75
66.27,6426.50
67.97,6178.25
69.69,6123.75
71.38,0.00
74.77,6457.50
78.20,5986.25
79.91,5939.75
81.61,5975.50
83.45,6073.50
85.16,6071.75
86.89,5877.25
88.59,5852.25
106.05,2759.00
107.64,2783.50
109.34,2816.50
111.03,2856.25
112.77,2892.00
114.48,2778.25
116.20,2628.50
117.94,2495.50
119.66,2379.25
121.42,2266.50
123.17,2169.75
124.88,2080.00
126.64,2004.25
128.41,1931.25
130.09,1870.00
131.91,0.00
133.70,1645.75
135.42,1611.75
137.22,1476.50
138.91,1468.75
140.67,1482.00
142.31,1550.50
144.00,1517.00
145.72,1490.00
147.44,1461.75
149.20,1438.50
150.97,1417.50
152.66,1400.50
154.39,1380.75
156.14,1364.00
157.86,1347.25
159.55,1336.25
161.23,1324.50
162.97,1315.50
164.73,1305.50
166.39,1297.25
168.16,1293.50
169.86,1285.25
171.55,1281.25
173.34,1276.75
175.03,1276.75
176.73,1273.50
178.78,985.75
182.88,667.75
184.52,668.50
186.16,673.50
187.92,675.00
189.58,680.25
191.39,682.50
192.98,690.00
194.67,694.50
196.38,702.25
198.20,707.75
199.84,716.25
201.44,725.00
203.09,735.50
204.92,745.25
206.56,756.00
208.19,769.75
209.91,782.00
211.59,798.50
213.25,814.00
215.00,832.75
216.69,849.00
218.25,870.00
219.98,890.50
221.70,916.25
223.31,945.00
224.94,974.25
226.61,1007.25
228.23,1046.50
229.92,1084.25
231.55,1128.75
233.20,1180.25
234.89,1234.25
243.45,0.00
237.94,1828.00
239.58,1922.75
241.25,2031.75
242.94,2166.00
244.45,3054.00
246.16,3138.50
247.89,3092.75
249.58,3047.50
251.31,3027.00
253.05,3008.50
254.73,2977.50
256.48,2972.75
258.17,2974.00
259.91,2947.50
261.61,2943.50
263.33,2953.25
265.02,2940.00
266.72,2965.00
268.45,2915.75
270.20,2784.25
271.88,2792.00
275.44,2557.00
277.16,2569.75
278.86,2586.75
280.53,2866.25
282.20,0.00
283.92,3096.00
285.61,3124.25
287.31,3156.75
289.03,3192.50
290.75,3224.50
292.44,3278.00
294.16,3334.25
295.88,3385.75
297.58,3447.00
299.20,3519.25
300.88,3589.50
302.61,3480.75
304.31,3504.75
306.06,3404.00
307.75,3288.25
309.47,3217.25
311.20,3028.75
312.94,0.00
314.62,2912.00
316.34,2836.25
318.09,2779.00
319.80,2726.75
321.52,2699.50
325.19,2039.00
326.92,2002.75
328.64,1966.50
330.38,1936.50
332.11,1907.50
333.84,1882.50
335.52,1855.25
337.30,1836.00
339.00,1816.75
340.73,1798.75
342.42,1807.75
343.94,0.00
345.66,2475.25
347.30,2476.00
349.00,2459.75
350.73,2452.75
352.44,2441.25
354.17,2440.00
355.84,2434.00
357.56,2429.50
359.25,2434.50
0.98,2431.25
2.70,2437.50
4.42,2445.75
6.14,2459.25
7.84,2470.25
9.56,2485.00
11.28,2503.25
13.00,2519.75
14.70,2540.50
16.38,2568.50
18.09,2592.00
19.83,2624.00
21.52,2658.00
23.23,2690.25
24.91,2729.75
26.66,2773.50
28.33,2822.25
30.06,2820.25
31.72,2940.25
33.47,3003.25
35.11,3062.25
36.81,3137.75
38.50,3209.75
40.22,3302.00
41.91,3391.75
43.61,3498.25
45.30,3600.25
47.00,3732.50
48.69,3869.25
50.38,4026.50
52.08,4179.50
53.78,4364.00
55.45,4583.25
57.14,4809.50
58.83,4953.25
60.50,5368.00
62.19,5704.75
63.88,6069.75
65.59,6439.25
67.30,0.00
69.02,6127.50
