Angle (°),Distance (mm)
308.45,3947.00
310.11,3922.25
311.78,4324.50
313.52,4341.75
315.19,4544.25
316.89,4815.00
318.55,5152.75
320.25,5431.50
321.97,5225.25
323.94,5115.00
325.64,5256.50
330.78,5360.75
334.23,0.00
335.97,4910.75
337.69,4895.25
339.41,5006.00
341.12,5051.50
342.84,5049.75
344.55,4906.00
346.28,4878.00
347.89,4852.50
351.28,0.00
356.42,0.00
358.20,4172.50
359.94,4176.25
1.70,3561.25
3.41,3594.00
10.47,2428.00
13.91,2510.00
15.59,2557.25
17.31,2613.25
19.20,1935.00
20.94,1978.75
22.59,2023.50
24.33,2075.50
26.05,2129.25
27.70,2177.00
29.45,2109.75
31.19,2044.75
32.88,2066.00
34.59,2142.00
36.25,2214.50
37.97,2226.25
39.70,2182.50
41.48,1952.00
44.97,1867.50
46.67,1835.00
48.41,1809.25
50.14,1785.00
51.81,1766.25
53.56,1748.00
55.38,1616.00
57.06,1601.75
58.77,1588.75
60.47,1579.00
62.19,1568.25
63.91,1563.25
65.64,1489.25
67.39,1455.75
69.06,1439.75
70.73,1452.00
72.48,1528.50
74.20,1526.50
75.94,1410.75
77.59,1465.00
79.31,1476.25
81.06,1454.50
82.80,1432.25
84.61,1417.50
86.38,1427.00
88.03,1474.00
89.70,1526.00
91.41,1528.25
93.19,1450.50
94.91,1456.00
96.44,0.00
98.20,1706.00
99.94,1652.00
101.62,1679.75
103.31,1706.50
105.06,1737.25
106.75,1767.50
108.33,1887.25
110.06,1814.25
111.81,1743.00
113.58,1628.00
115.31,1619.50
117.06,1565.50
118.73,1516.50
120.53,1472.00
122.25,1438.50
123.91,1480.50
125.61,1536.50
127.23,1598.50
128.94,1666.00
130.62,1739.25
132.36,1820.75
134.00,1912.50
135.69,2022.25
137.36,2148.25
139.03,2294.00
143.86,4219.50
145.59,4132.75
147.31,4139.75
149.06,4090.00
150.75,4073.25
152.45,4080.50
154.20,4011.00
155.92,4028.00
157.64,3999.75
159.33,4024.75
161.06,3827.75
162.80,3829.50
164.50,3832.50
166.22,3837.25
167.95,3855.00
169.66,3857.50
171.38,4029.00
173.06,4076.00
174.78,4095.75
