Angle (°),Distance (mm)
128.56,4865.00
130.20,4983.25
131.94,5072.00
133.58,5093.75
135.23,4946.25
136.86,5054.50
138.55,4971.00
140.16,4980.00
145.09,5279.75
156.73,0.00
158.48,0.00
161.81,3159.75
165.14,2936.75
167.44,0.00
169.08,1307.25
170.61,0.00
172.19,1576.50
173.45,0.00
175.14,2524.75
176.75,2619.50
178.39,2723.50
179.98,2839.25
196.48,0.00
199.80,2543.00
201.48,2452.50
203.20,2441.25
204.86,2432.25
206.50,2419.75
208.16,2355.75
209.83,2332.25
211.50,2311.00
213.14,2427.75
214.81,2279.00
216.45,2309.50
218.09,2276.00
219.75,2238.75
221.42,2257.50
223.02,2336.00
228.70,1109.25
230.34,1112.50
232.02,1043.25
236.91,1089.75
238.44,0.00
240.03,1205.25
242.83,2216.25
244.50,2112.00
246.17,2139.75
247.81,2180.50
249.41,2224.75
251.06,2274.75
252.70,2326.75
254.34,2382.50
255.97,2443.75
257.58,2508.50
259.22,2586.25
260.84,2666.25
262.50,2751.50
268.89,4265.00
273.81,4575.50
275.50,4483.00
277.14,4428.50
280.47,4260.50
282.11,4276.25
284.86,1012.75
286.55,1021.25
288.77,3950.75
291.83,0.00
293.44,832.75
295.20,0.00
296.86,787.00
298.47,786.50
299.94,788.50
301.55,0.00
303.52,3480.00
305.16,3571.75
309.61,0.00
311.19,966.75
312.88,973.75
314.47,979.00
317.50,0.00
322.55,1089.25
335.34,1686.00
337.03,0.00
338.66,1561.00
340.41,1476.25
342.02,1506.50
343.69,1491.25
345.28,1516.50
351.95,1438.75
353.59,1395.75
356.92,1362.00
358.48,1443.75
0.11,1477.75
1.75,1514.25
3.38,1487.75
5.05,1476.50
6.72,1456.25
8.39,1434.75
15.09,1367.25
16.70,1350.50
18.38,1349.75
26.91,0.00
20.88,4602.75
22.53,4565.50
24.17,4536.00
25.83,4523.00
35.16,0.00
29.00,7294.25
30.66,7341.25
32.27,8325.75
34.48,1996.25
36.14,1901.75
37.88,1787.50
39.56,1698.50
41.20,1617.25
42.95,1542.25
44.58,1478.00
46.30,1420.25
47.97,1414.00
49.62,1349.75
51.33,1354.00
52.91,1337.25
54.55,1329.75
62.94,1105.50
64.67,1058.75
69.56,1077.50
71.16,1079.25
72.80,1106.75
74.33,1143.00
75.98,1171.25
77.64,1206.75
